VEHICLE
NUMBER,CAPACITY
20,10000

CUSTOMER
CUST NO.,XCOORD.,YCOORD.,DEMAND,READY TIME,DUE DATE,SERVICE TIME
178,9647,9675,1749,0,2693,90
179,9300,1846,250,0,301,90
180,6229,4129,250,0,8684,90
181,3630,366,2249,0,9653,90
182,8681,6728,250,0,7002,90
183,874,8869,250,0,5172,90
184,7824,3173,1250,0,8254,90
185,8183,5075,2000,0,1932,90
186,211,4335,250,0,7064,90
187,4463,2388,750,0,94,90
188,8302,7447,2000,0,8726,90
189,5864,4928,500,0,3454,90
190,4873,2667,1250,0,9583,90
191,6050,7535,2249,0,225,90
192,2705,5223,250,0,8333,90
193,983,7136,1749,0,5230,90
194,8840,5670,1749,0,4848,90
195,9944,1787,1500,0,9647,90
196,122,4569,2000,0,5058,90
197,9317,8460,2000,0,7902,90
198,4733,9025,1500,0,388,90
199,2259,3041,2249,0,8024,90
200,7149,7240,1000,0,9892,90
201,186,2858,1250,0,7379,90
202,5804,9307,250,0,3009,90
203,3389,1200,2000,0,9376,90
204,5162,6992,2000,0,291,90
205,2986,8616,1000,0,4150,90
206,9058,7685,250,0,2939,90
207,2612,9384,750,0,8630,90
208,9386,7450,1000,0,5764,90
209,9107,2372,1749,0,4558,90
210,4949,8098,1000,0,1677,90
211,9545,6374,2249,0,2735,90
212,9108,6921,1500,0,1771,90
213,429,8335,750,0,7837,90
214,3699,9365,2000,0,2503,90
215,4830,1253,1000,0,1147,90
216,9644,170,2000,0,3812,90
217,6765,1404,2249,0,7342,90
218,1553,6495,1000,0,1402,90
219,9816,6948,750,0,9830,90
220,7619,4252,250,0,7054,90
221,1388,2161,1749,0,8538,90
222,7647,546,2249,0,1811,90
223,4901,1806,2000,0,4201,90
224,6309,5512,750,0,1417,90
225,5670,8183,250,0,5805,90
226,9389,1929,2000,0,4708,90
227,7128,6979,2000,0,8467,90
228,2582,9158,2249,0,3291,90
229,5323,5579,1000,0,4367,90
230,3227,3386,2249,0,6904,90
231,3323,9788,500,0,3886,90
232,2032,6670,1500,0,3948,90
233,5747,519,2000,0,3821,90
234,5428,2079,2000,0,9235,90
235,910,8698,1500,0,5143,90
236,273,9686,1749,0,3817,90
237,3274,4102,750,0,2393,90
238,1355,1270,1500,0,1946,90
239,4139,6174,2249,0,448,90
240,1322,9744,500,0,5838,90
241,1806,7603,1000,0,150,90
242,4821,7680,500,0,4661,90
243,3028,151,2000,0,5680,90
244,4633,7033,1749,0,9048,90
245,660,6690,2249,0,3290,90
246,3454,5917,250,0,4649,90
247,2290,2675,1749,0,5580,90
248,9328,8261,1500,0,1420,90
249,1454,6470,1500,0,5645,90
250,8839,7413,1250,0,8548,90
251,5157,1352,1000,0,8359,90
252,398,8343,250,0,1508,90
253,1170,5231,1250,0,8931,90
254,8730,387,750,0,5736,90
255,6923,4762,2249,0,7760,90
256,1692,631,1000,0,6039,90
257,322,2424,1000,0,155,90
258,1127,4049,1749,0,7183,90
259,420,9265,2249,0,8271,90
260,9352,8104,2000,0,7080,90
261,1883,5873,500,0,6871,90
262,9035,9673,1250,0,8252,90
263,675,3175,500,0,1000,90
264,6968,6402,2249,0,6026,90
265,6326,8287,750,0,3457,90
266,7131,3354,1250,0,6081,90
267,1676,7646,2249,0,8307,90
268,3593,880,1000,0,7597,90
269,7295,8810,2000,0,9773,90
270,412,1748,1000,0,1183,90
271,4200,3406,1250,0,3098,90
272,447,1128,1250,0,7333,90
273,4380,710,2000,0,8707,90
274,8162,8661,250,0,8511,90
275,1311,1932,750,0,7119,90
276,4374,9709,2249,0,5179,90
277,7738,1317,2000,0,6118,90
278,9271,8277,1250,0,4241,90
279,3927,1405,1000,0,9202,90
280,521,927,1749,0,7392,90
281,8869,1681,2000,0,426,90
282,3628,6542,1749,0,8852,90
283,6048,3949,1000,0,7762,90
284,3746,630,1000,0,2740,90
285,4289,7197,2000,0,4412,90
286,7680,1943,2000,0,2068,90
287,8628,287,1250,0,4831,90
288,9021,2365,1749,0,3188,90
289,1285,3178,750,0,5023,90
290,8487,8322,750,0,5384,90
291,3456,2399,2249,0,8422,90
292,5357,2714,2249,0,8021,90
293,344,6270,250,0,8935,90
294,5202,419,1749,0,6949,90
295,7574,9883,1000,0,9772,90
296,8014,3439,2000,0,6234,90
297,3353,3515,1749,0,461,90
298,4429,5794,750,0,674,90
299,6175,1771,250,0,6135,90
300,8649,7102,2249,0,6424,90
301,1706,8550,750,0,6135,90
302,198,6416,1250,0,2969,90
303,1623,2575,1749,0,1091,90
304,3426,61,1000,0,4269,90
305,4385,7970,2249,0,9178,90
306,6756,5450,1500,0,4279,90
307,5642,139,2000,0,1647,90
308,6089,9885,1000,0,1140,90
309,2241,5872,1749,0,3055,90
310,8350,7924,2000,0,578,90
311,3292,3572,1749,0,1829,90
312,9601,2237,750,0,3294,90
313,2115,1539,1500,0,8784,90
314,4958,2612,1500,0,5045,90
315,5556,729,250,0,9839,90
316,3785,4610,2000,0,747,90
317,7785,7204,750,0,9019,90
318,2312,245,2249,0,4423,90
319,2573,4101,1500,0,6282,90
320,83,4715,1749,0,1548,90
321,8524,9231,2000,0,1422,90
322,2314,9909,1749,0,8269,90
323,59,3352,500,0,735,90
324,7892,985,250,0,9623,90
325,4423,3806,1500,0,385,90
326,8325,7119,1000,0,2315,90
327,3550,246,750,0,3674,90
328,6935,4212,2000,0,1049,90
329,8583,5750,500,0,1647,90
330,9400,8802,750,0,4286,90
331,4581,173,1749,0,869,90
332,686,3206,1250,0,6720,90
333,5923,6100,2000,0,6084,90
334,5124,1447,1250,0,4714,90
335,8768,7382,2000,0,7262,90
336,3733,8286,750,0,7576,90
337,902,640,750,0,888,90
338,5058,9334,750,0,3198,90
339,1489,5694,1500,0,7222,90
340,597,1692,250,0,6738,90
341,690,9060,1000,0,1869,90
342,4474,1063,250,0,5357,90
343,6652,5022,2000,0,2734,90
344,4092,7279,2249,0,7092,90
345,1720,3844,750,0,9815,90
346,2670,3082,2249,0,6128,90
347,1773,4825,1500,0,8179,90
348,6297,595,250,0,1154,90
349,1968,2792,1000,0,2464,90
350,7078,3274,1500,0,6493,90
351,4252,7047,250,0,7848,90
352,1590,4394,1749,0,5714,90
353,6293,9250,2000,0,300,90
354,3569,8191,2000,0,475,90
355,6401,7150,2000,0,476,90
356,7384,9709,1500,0,134,90
357,2460,425,250,0,7394,90
358,2477,450,1500,0,2417,90
359,7054,8347,2000,0,6143,90
360,9341,4707,1749,0,609,90
361,5123,2629,500,0,2961,90
362,988,7988,500,0,9323,90
363,1428,8056,2000,0,7039,90
364,8795,4999,250,0,340,90
365,9142,4124,1000,0,1017,90
366,2003,6435,250,0,1830,90
367,3998,6142,500,0,5649,90
368,4373,5931,1000,0,3638,90
369,9514,5531,2249,0,2633,90
370,9037,1385,1500,0,8117,90
371,15,6128,1250,0,5092,90
372,5417,7806,1000,0,6025,90
373,8214,9534,500,0,6483,90
374,6099,2900,2249,0,9220,90
375,8268,3760,750,0,5700,90
376,6091,6200,250,0,2472,90
377,4414,1987,2000,0,6226,90
378,4439,9247,750,0,8663,90
379,6714,815,1000,0,2693,90
380,5726,1206,1250,0,4297,90
381,9999,9973,1500,0,8496,90
382,6947,3738,1500,0,1944,90
383,4015,9250,1749,0,3403,90
384,2448,6640,750,0,7238,90
385,4812,349,2249,0,8534,90
386,1108,8953,2249,0,235,90
387,8921,9151,1500,0,3930,90
388,3074,2984,500,0,5226,90
389,6592,5951,2000,0,6936,90
390,9843,6156,2249,0,6942,90
391,1547,8314,1000,0,7742,90
392,8156,920,1250,0,5846,90
393,8877,164,500,0,567,90
394,8639,8987,250,0,2668,90
395,8503,6528,1000,0,2876,90
396,3287,5453,500,0,1178,90
397,2379,8717,750,0,3929,90
398,1767,3706,2000,0,9528,90
399,7595,3061,1000,0,1578,90
400,6161,2192,250,0,1585,90
401,8725,6478,500,0,4738,90
402,4730,2341,250,0,4659,90
403,8338,985,500,0,3584,90
404,2050,2347,750,0,7635,90
405,5969,6284,2000,0,7061,90
406,9826,1763,500,0,7834,90
407,7999,1552,1500,0,3846,90
408,3609,9550,2249,0,9364,90
409,1301,2728,2000,0,155,90
410,8091,9656,750,0,7712,90
411,924,5834,750,0,1293,90
412,4054,8993,2000,0,5928,90
413,847,1811,1749,0,6869,90
414,506,3012,1749,0,5822,90
415,1901,86,2000,0,9954,90
416,1275,1128,1749,0,1728,90
417,7304,2393,1000,0,4462,90
418,9015,3285,1749,0,6158,90
419,8740,2365,2000,0,3046,90
420,3784,5422,2000,0,1377,90
421,5157,4138,1000,0,5902,90
422,3888,3403,2000,0,8965,90
423,4022,4571,1250,0,3491,90
424,3829,6580,1000,0,5883,90
425,8812,5726,1250,0,5424,90
426,4280,2583,250,0,5789,90
427,8652,1732,2249,0,5330,90
428,5799,7273,750,0,9694,90
429,7304,4039,1749,0,794,90
430,1179,7635,1000,0,3678,90
431,5336,7220,1000,0,3154,90
432,5976,4228,1500,0,1398,90
433,9334,9939,250,0,8162,90
434,5478,7302,250,0,3867,90
435,279,8635,2249,0,5056,90
436,9986,3253,1250,0,9431,90
437,8502,6114,2000,0,4087,90
438,4411,5272,2249,0,1225,90
439,7798,2513,1000,0,4582,90
440,4628,8471,1500,0,665,90
441,6780,3678,2249,0,4621,90
442,1379,4028,500,0,5255,90
443,9312,6731,250,0,613,90
444,4192,5686,1000,0,2434,90
445,417,9956,2000,0,5773,90
446,6190,7794,1250,0,1254,90
447,9313,3416,250,0,2790,90
448,8112,8727,500,0,3875,90
449,6659,5887,1500,0,8560,90
450,8933,4485,250,0,1661,90
451,2443,8141,1500,0,3718,90
452,6971,4096,1000,0,5745,90
453,57,9540,2000,0,5167,90
454,6052,65,1000,0,8230,90
455,4984,5986,500,0,7575,90
456,3001,4617,2249,0,927,90
457,4955,5856,500,0,9227,90
458,8696,8322,1000,0,3691,90
459,7785,5484,1250,0,627,90
460,6134,7342,1250,0,5438,90
461,5663,7752,1749,0,755,90
462,9865,7892,1000,0,9605,90
463,6143,1582,500,0,6338,90
464,4763,2836,750,0,5444,90
465,1538,7772,1000,0,1690,90
466,589,791,250,0,2873,90
467,6642,5233,500,0,1261,90
468,4464,3068,2000,0,1184,90
469,172,2935,2000,0,5588,90
470,2677,367,250,0,9077,90
471,8040,3337,1000,0,911,90
472,8918,8103,1500,0,1122,90
473,9641,9577,500,0,6439,90
474,5911,3115,1000,0,9117,90
475,9184,506,500,0,9154,90
476,2257,3627,1500,0,645,90
477,4122,9446,1000,0,4494,90
478,5793,1867,2249,0,280,90
479,5964,9337,750,0,5022,90
480,1341,9822,1749,0,4519,90
481,1538,8207,250,0,8817,90
482,6775,4040,2249,0,3143,90
483,2172,7735,500,0,3363,90
484,8476,5296,750,0,1640,90
485,4095,183,1000,0,7525,90
486,1486,8043,1250,0,8651,90
487,4197,3392,1749,0,2562,90
488,2971,7179,250,0,3323,90
489,9978,5519,250,0,9700,90
490,8898,1684,1749,0,5675,90
491,8835,7027,1749,0,8030,90
492,4221,8633,1749,0,6949,90
493,2350,5637,1250,0,2255,90
494,265,3800,1500,0,5387,90
495,3618,912,1500,0,912,90
496,452,3424,2249,0,6502,90
497,3554,9958,2249,0,8675,90
498,9442,1311,1250,0,4465,90
499,5183,4772,1250,0,7230,90
500,4011,9306,250,0,1144,90
501,5153,8095,2249,0,7917,90
502,8817,7626,1749,0,6009,90
503,4644,739,1749,0,6354,90
504,4704,2005,1250,0,9909,90
505,2085,1775,1250,0,8761,90
506,3542,9117,1500,0,1942,90
507,4335,1782,2249,0,3449,90
508,7521,504,750,0,2779,90
509,826,385,750,0,1318,90
510,4652,6038,1500,0,6785,90
511,1817,5190,1000,0,8640,90
512,7101,9249,1500,0,5025,90
513,5291,9711,250,0,125,90
514,5472,64,2249,0,1808,90
515,4727,5220,1749,0,8529,90
516,1522,6542,1749,0,5804,90
517,1304,4541,1749,0,1003,90
518,9823,1325,1749,0,2804,90
519,602,678,1749,0,6457,90
520,961,8193,2249,0,7644,90
521,6296,7836,2249,0,8015,90
522,771,9719,2000,0,9909,90
523,8828,6304,1500,0,924,90
524,9290,3981,250,0,579,90
525,4889,6858,750,0,2822,90
526,2815,6766,1250,0,5553,90
527,4957,7911,2249,0,3411,90
528,2188,7461,1749,0,7850,90
529,4541,4082,750,0,8316,90
530,9226,1507,750,0,2511,90
531,1309,3818,1250,0,7968,90
532,5419,9443,750,0,940,90
533,3232,974,500,0,3245,90
534,9473,8570,750,0,6586,90
535,260,1178,750,0,4741,90
536,8293,1384,2249,0,7558,90
537,5694,4777,500,0,393,90
538,3066,566,2249,0,2348,90
539,9368,9040,1000,0,206,90
540,7222,6540,500,0,1988,90
541,3922,9736,500,0,4206,90
542,7110,4930,2000,0,4769,90
543,3264,1158,1500,0,8499,90
544,9720,2744,1250,0,3433,90
545,1874,2148,1749,0,5124,90
546,7608,9448,1749,0,311,90
547,5015,6620,1250,0,4129,90
548,3474,1285,750,0,1093,90
549,6812,3912,2249,0,8407,90
550,262,5005,2249,0,3693,90
551,5281,2232,2249,0,6742,90
552,16,4465,500,0,3908,90
553,5053,810,500,0,7672,90
554,8227,2401,250,0,5581,90
555,96,2250,1250,0,5166,90
556,841,8259,500,0,3553,90
557,7147,2445,750,0,9955,90
558,638,4267,2000,0,1017,90
559,7060,7181,1749,0,8365,90
560,1934,7400,1749,0,5184,90
561,9567,5158,250,0,3977,90
562,4300,230,500,0,794,90
563,5073,6865,1250,0,5396,90
564,1381,6724,250,0,9187,90
565,393,4317,1749,0,5205,90
566,8542,4223,1749,0,7084,90
567,884,566,750,0,7341,90
568,1032,4853,1500,0,3558,90
569,6746,908,1250,0,2826,90
570,8322,7764,1250,0,2934,90
571,611,3224,2249,0,7099,90
572,3771,5022,500,0,6315,90
573,4499,4673,750,0,3666,90
574,1047,3737,500,0,3816,90
575,217,4483,2000,0,113,90
576,8931,7758,1749,0,3454,90
577,2491,7315,1000,0,8146,90
578,3151,4961,2249,0,8352,90
579,504,5825,1749,0,7648,90
580,2825,2933,2249,0,9897,90
581,1260,8931,500,0,8523,90
582,4512,6508,250,0,9575,90
583,8093,2829,1500,0,3864,90
584,2733,3857,1000,0,9661,90
585,4216,9321,2000,0,6442,90
586,8676,4451,1500,0,6671,90
587,291,1071,1000,0,9607,90
588,1962,2382,1749,0,1300,90
589,8245,8964,2249,0,2739,90
590,278,5733,1000,0,7174,90
591,8056,4205,1250,0,6535,90
592,5252,2861,2000,0,5006,90
593,6586,903,2000,0,8064,90
594,8222,8074,2249,0,4804,90
595,1916,6383,250,0,9524,90
596,8324,4698,1749,0,1450,90
597,5803,1089,2000,0,3498,90
598,4624,8863,1500,0,5152,90
599,4649,4662,2000,0,4806,90
600,1960,387,1000,0,4156,90
601,6158,5646,1250,0,3382,90
602,1082,7416,2000,0,9107,90
603,1834,3486,1250,0,6684,90
604,4804,6439,1250,0,6014,90
605,6216,7611,2249,0,1842,90
606,2866,4923,2249,0,410,90
607,6819,5099,250,0,2717,90
608,7682,2999,1749,0,749,90
609,5468,2446,500,0,1590,90
610,4435,8100,250,0,6601,90
611,1038,2299,2249,0,9937,90
612,7917,5665,750,0,3952,90
613,8274,9749,500,0,9650,90
614,9652,9497,1749,0,3682,90
615,5517,925,750,0,8627,90
616,7404,5642,1000,0,6278,90
617,7458,4553,1749,0,2885,90
618,1556,9959,1000,0,5299,90
619,8896,8037,750,0,8344,90
620,4114,2131,750,0,7733,90
621,2944,6229,1000,0,4398,90
622,2482,7996,1250,0,5351,90
623,188,4803,1250,0,8286,90
624,7340,6835,750,0,8349,90
625,4212,6932,2000,0,904,90
626,3671,2324,1000,0,9375,90
627,7850,7267,1000,0,9203,90
628,7064,317,1000,0,1707,90
629,2394,3710,2000,0,5364,90
630,5818,879,1749,0,5830,90
631,2321,8125,1749,0,4477,90
632,7527,8047,500,0,6369,90
633,2944,7806,2249,0,6051,90
634,2247,2898,2000,0,5785,90
635,8489,7441,2000,0,8731,90
636,3322,5673,250,0,2878,90
637,6996,919,1000,0,3948,90
638,538,8627,1250,0,3867,90
639,6299,8696,1749,0,8187,90
640,876,8659,500,0,2406,90
641,412,9581,1250,0,9383,90
642,2273,7518,1500,0,8376,90
643,4007,4030,1500,0,7072,90
644,2532,5068,500,0,989,90
645,1845,570,750,0,9444,90
646,3669,7198,1500,0,6112,90
647,4741,9226,1749,0,6497,90
648,1701,7183,500,0,511,90
649,8697,1293,250,0,9707,90
650,9740,7542,2249,0,4866,90
651,9166,377,1500,0,9077,90
652,2858,8229,250,0,5834,90
653,2747,517,500,0,2621,90
654,1479,164,2000,0,7940,90
655,7824,3491,500,0,5991,90
656,7496,549,1500,0,2364,90
657,781,7893,2000,0,3341,90
658,3704,1109,1500,0,7334,90
659,4052,6512,2249,0,1266,90
660,4362,2024,750,0,9714,90
661,4438,7421,250,0,263,90
662,960,5117,750,0,2687,90
663,8436,9935,1749,0,70,90
664,6307,2854,750,0,6345,90
665,1260,133,500,0,7467,90
666,3381,4843,2000,0,8565,90
667,5461,360,750,0,8504,90
668,612,231,250,0,1063,90
669,5073,2665,500,0,984,90
670,4453,9736,750,0,9452,90
671,7977,2841,750,0,3546,90
672,5557,1975,1000,0,1629,90
673,7906,876,2249,0,669,90
674,8379,2412,1500,0,6498,90
675,4342,4278,2000,0,6495,90
676,1021,9088,500,0,1842,90
677,1490,9075,750,0,3936,90
678,104,1735,1749,0,2721,90
679,8391,3102,500,0,7029,90
680,8489,9113,500,0,3120,90
681,8999,8672,750,0,7689,90
682,8377,2536,750,0,3181,90
683,8430,6176,1000,0,2961,90
684,9841,6105,1000,0,5973,90
685,6516,6544,2000,0,234,90
686,5523,1857,250,0,7658,90
687,9809,959,500,0,6330,90
688,7482,5246,250,0,2001,90
689,2907,2281,1000,0,962,90
690,5037,9319,2000,0,440,90
691,5741,9897,2000,0,3961,90
692,4297,4163,1250,0,4079,90
693,6278,9073,500,0,5464,90
694,694,5504,1250,0,1417,90
695,1546,7185,1250,0,5990,90
696,1354,45,2000,0,7727,90
697,5375,165,1000,0,9650,90
698,5355,456,500,0,3773,90
699,1539,8430,1000,0,1163,90
700,7979,3035,1749,0,9791,90
701,3984,4492,1000,0,2409,90
702,205,6175,1500,0,7185,90
703,8045,2341,1000,0,9013,90
704,4001,4933,500,0,5785,90
705,5018,3334,500,0,2655,90
706,1054,6408,1749,0,821,90
707,1514,1951,2000,0,3084,90
708,573,9147,2249,0,2771,90
709,8306,1590,1000,0,2053,90
710,8677,5072,2249,0,564,90
711,1283,1131,1000,0,4566,90
712,2227,8898,750,0,5982,90
713,4509,6972,1749,0,6351,90
714,3902,6226,1250,0,472,90
715,7164,5008,2000,0,4404,90
716,7600,8326,750,0,6092,90
717,5599,5438,2249,0,8155,90
718,5879,251,1250,0,4502,90
719,9891,707,1500,0,3759,90
720,8176,1370,2249,0,7447,90
721,1530,3592,500,0,9809,90
722,2534,2187,2000,0,8554,90
723,5633,4800,2000,0,6429,90
724,930,5139,1500,0,4335,90
725,1974,4802,1250,0,812,90
726,2770,104,1749,0,9103,90
727,8877,3738,2000,0,9665,90
728,4162,8775,1000,0,6255,90
729,7607,5481,2000,0,4414,90
730,9023,9207,1500,0,1135,90
731,4654,5656,750,0,144,90
732,285,1403,250,0,1946,90
733,3999,8270,1000,0,5681,90
734,4553,6935,1749,0,865,90
735,6379,6558,1749,0,1450,90
736,7693,2,1250,0,7668,90
737,3006,6954,250,0,5936,90
738,908,5236,1250,0,996,90
739,8945,9637,1000,0,7503,90
740,7056,7640,1000,0,8913,90
741,3446,2518,1000,0,2076,90
742,6672,1493,250,0,8791,90
743,4709,222,1500,0,180,90
744,7597,2056,500,0,8613,90
745,8405,7748,750,0,7775,90
746,1761,8845,1000,0,9836,90
747,930,2021,1250,0,2669,90
748,3724,1736,2249,0,1020,90
749,3452,5677,500,0,3773,90
750,1569,7757,1000,0,6698,90
751,336,109,750,0,3751,90
752,3201,5267,1250,0,2146,90
753,6297,8815,2000,0,3535,90
754,6411,226,2249,0,5014,90
755,6951,8846,2000,0,828,90
756,7513,2630,2249,0,2720,90
757,5075,1241,250,0,2408,90
758,6087,6933,500,0,5852,90
759,777,4040,2249,0,390,90
760,5134,8070,1500,0,6044,90
761,989,4725,750,0,6900,90
762,5673,5359,750,0,8673,90
763,1842,5867,750,0,7680,90
764,7859,9980,250,0,3516,90
765,527,426,500,0,7054,90
766,5289,6033,500,0,8009,90
767,822,7098,2000,0,2975,90
768,1161,1973,750,0,4230,90
769,7792,4558,500,0,5347,90
770,3088,3676,1000,0,2256,90
771,7633,1804,1500,0,5051,90
772,1377,5008,1250,0,7612,90
773,149,3472,750,0,1605,90
774,3377,5046,1500,0,1737,90
775,4923,3502,1500,0,5676,90
776,2023,1599,1749,0,1320,90
777,5610,4461,2000,0,5566,90
778,8552,9111,2249,0,113,90
779,8765,9654,1500,0,8091,90
780,2023,7263,1000,0,8003,90
781,5713,5839,500,0,8577,90
782,4567,5821,1250,0,7115,90
783,677,59,500,0,3142,90
784,4680,7902,1500,0,2472,90
785,9229,7202,1000,0,8347,90
786,1259,7190,750,0,2547,90
787,6154,3867,1000,0,9716,90
788,7852,1013,1749,0,3192,90
789,4029,7423,750,0,9160,90
790,124,9281,750,0,3685,90
791,4602,696,750,0,8977,90
792,9099,1233,1749,0,1227,90
793,8947,2050,1500,0,1541,90
794,9319,4979,2000,0,266,90
795,3600,1608,1000,0,9509,90
796,7263,8352,1500,0,5943,90
797,3188,9780,2249,0,1592,90
